;地图编号	小地图代码
0	101
1	102
11	103
12	104
2	105
3	106
4	121
5	161
6	191
61	192
611	193
612	194
613	195
62	196
621	197
622	198
63	199
631	200
632	201
64	202
65	203
66	204
ch001	224
ch002	224
ch003	224
ch004	224
D001	1
D002	2
D003	3
D011	4
D012	5
D021	44
D022	6
D023	7
D024	45
D032	6
D033	7
D042	6
D043	7
D052	6
D053	7
D10011	91
D10012	92
D10013	93
D1002	94
D10031	95
D10032	96
D1004	97
D10051	98
D10052	99
D10053	108
D10054	109
D2001	122
D2002	123
D2003	124
D2004	125
D2005	126
D2006	127
D2007	128
D2008	129
D2009	130
D2010	131
D2011	132
D2012	133
D2013	134
D2031	141
D2032	142
D2033	143
D2034	144
D2041	151
D2042	152
D2043	153
D2044	154
D2051	162
D2052	163
D2053	164
D2054	165
D2055	166
D2056	167
D20561	253
D20562	254
D20563	255
D2061	171
D2062	172
D2063	173
D2064	174
D2065	175
D2066	176
D2067	177
D2070	181
D2071	182
D2072	183
D2073	184
D2074	185
D2075	186
D2076	187
D2077	188
D2078	189
D2079	190
D2081	211
D2082	212
D401	8
D402	9
D403	10
D404	11
D405	12
D406	13
D411	14
D412	15
D413	16
D414	17
D415	18
D416	19
D421	20
D422	21
D4221	221
D501	22
D502	23
D503	24
D504	25
D505	47
D5071	48
D5072	49
D5073	50
D5074	51
D601	26
D602	27
D603	28
D604	29
D605	30
D606	31
D612	81
D613	82
D614	83
D615	84
D616	85
D617	86
D618	87
D701	53
D711	33
D712	34
D713	35
D714	36
D7141	250
D7142	251
D7143	252
D715	55
D716	56
D717	57
E001	59
E002	60
E401	62
E402	63
E403	64
E404	65
E601	67
E602	68
E603	69
E604	70
E605	71
E701	73
E702	74
E703	75
EV003	213
EV07C1	240
EV07C2	241
EV07C3	242
EV07C4	243
F001	37
F002	38
F003	39
F004	40
F005	41
F006	111
F007	112
F008	113
F009	114
F010	115
FOX01	215
FOX02	216
G003	116
G004	116
G005	116
G006	116
G007	116
G008	116
G009	116
G010	116
G011	116
G012	116
G013	116
G014	116
GF0000	225
GF0001	226
GF0002	227
GF0003	228
GF0004	229
gumi101	234
gumi102	235
gumi201	236
gumi202	237
gumi203	238
gumi204	239
hell00	245
hell01	247
hell02	248
hell03	249
hell101	257
hell102	258
hell103	259
hell104	260
hell105	261
hell106	262
hell107	263
hell201	264
hell202	265
hell203	266
hell204	267
hell205	268
hell206	269
LABY01	217
LABY02	218
LABY03	219
LABY04	220
M001	77
R001	42
snakepre	214
snakepre2	222
